Código Institución,Código Modular,Anexo,Nombre de SS.EE.,Ubigeo,Departamento,Provincia,Distrito,Código DRE/UGEL,DRE / UGEL,Centro Poblado,Código Centro Poblado,Código Local,Dirección,Nivel / Modalidad,Gestion / Dependencia,Latitud,Longitud,Altitud,Fuente de coordenadas
24661008.0,1104801,0,FE Y ALEGRIA 62 SAN JOSE,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WACHAPEA,532029,4734.0,WACHAPEA MISION,Secundaria,Pública - En convenio,-5.15484566,-78.28849733,288,UGELCENSO_GPS (LOCAL)
23148056.0,1696913,0,17866,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAGA ENTSA,682328,779943.0,WAGA ENTSA COMUNIDAD,Primaria,Pública - Sector Educación,-4.84255698,-78.17387373,275,UGEL_GPS (LOCAL)
,3877624,0,WAGA ENTSA,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAGA ENTSA,682328,102154.0,WAGA ENTSA,Inicial No Escolarizado,Pública - Sector Educación,-4.842248,-78.174033,279,MED_REG (LOCAL)
26098653.0,3041092,0,18863,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAGKANIM,693207,910354.0,WAGKANIM,Primaria,Pública - Sector Educación,-5.23908377,-78.31649065,393,MED_REG (LOCAL)
26655374.0,3056504,0,482,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAGKANIM,693207,916129.0,WAGKANIM,Inicial - Jardín,Pública - Sector Educación,-5.236294,-78.321082,351,MED_REG (LOCAL)
,1692461,0,WAJUYAT,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAJUJAK,127924,110889.0,WAJUYAT,Inicial No Escolarizado,Pública - Sector Educación,-4.937601,-78.337755,250,MED_REG (LOCAL)
23147221.0,1634534,0,17859,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAJUYAT,127924,707215.0,ANEXO WAJUYAT,Primaria,Pública - Sector Educación,-4.93762844,-78.33769615,250,MED_GPS (LOCAL)
20176148.0,708198,0,17157,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAMPINTSA,683487,4499.0,WAMPINTSA,Primaria,Pública - Sector Educación,-5.09716,-78.57866,905,UGELCENSO_GPS (LOCAL)
,3980159,0,ETSA,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAMPINTSA,683487,111644.0,WAMPINTSA,Inicial No Escolarizado,Pública - Sector Educación,-5.096458,-78.579454,923,MED_REG (LOCAL)
,1692477,0,WAWA,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAWA,121560,110863.0,WAWA,Inicial No Escolarizado,Pública - Sector Educación,-5.042399,-78.424766,392,MED_REG (LOCAL)
24554910.0,1385046,0,16729,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAWAS,121560,841006.0,WAWAS S/N,Secundaria,Pública - Sector Educación,-5.22488579,-78.34550429,343,UGEL_GPS (LOCAL)
24554910.0,270496,0,16729,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAWAS,121560,4239.0,WAWAS S/N,Primaria,Pública - Sector Educación,-5.22482725,-78.34650878,338,GPS_OTRAS_FUENTES (LOCAL)
20181745.0,1546266,0,290,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WAWAS,121560,629604.0,WAWAS S/N,Inicial - Jardín,Pública - Sector Educación,-5.2261,-78.3465,343,GPS_OTRAS_FUENTES (LOCAL)
